date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
2015-01-03,Quarter1,sweing,Saturday,3,0.8,28.08,913.0,6540,50,0.0,0,0,54.5,0.8003229359999999
2015-01-03,Quarter1,sweing,Saturday,8,0.8,26.16,1261.0,7080,50,0.0,0,0,59.0,0.8003186440000001
2015-01-03,Quarter1,sweing,Saturday,12,0.8,26.16,844.0,7080,63,0.0,0,0,59.0,0.8003186440000001
2015-01-03,Quarter1,sweing,Saturday,11,0.8,11.61,1005.0,7080,50,0.0,0,0,29.5,0.8002372879999999
2015-01-03,Quarter1,sweing,Saturday,5,0.8,11.61,659.0,7080,50,0.0,0,0,31.5,0.800148649
2015-01-03,Quarter1,sweing,Saturday,6,0.8,25.9,1152.0,6720,50,0.0,0,0,56.0,0.800125
2015-01-03,Quarter1,sweing,Saturday,7,0.8,25.9,1138.0,6720,38,0.0,0,0,56.0,0.800125
2015-01-03,Quarter1,sweing,Saturday,10,0.75,19.31,610.0,6480,56,0.0,0,0,54.0,0.787299691
2015-01-03,Quarter1,finishing ,Saturday,2,0.8,4.15,1072.0,960,0,0.0,0,0,8.0,0.782447917
2015-01-03,Quarter1,sweing,Saturday,2,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303
2015-01-03,Quarter1,finishing ,Saturday,10,0.7,4.15,1072.0,960,0,0.0,0,0,8.0,0.7018125
2015-01-03,Quarter1,sweing,Saturday,4,0.7,23.69,544.0,13800,0,0.0,0,0,60.0,0.700134038
2015-01-03,Quarter1,sweing,Saturday,9,0.7,28.08,1072.0,6900,40,0.0,0,0,57.5,0.699965217
2015-01-03,Quarter1,finishing ,Saturday,8,0.8,2.9,1072.0,960,0,0.0,0,0,8.0,0.6283333329999999
2015-01-03,Quarter1,finishing ,Saturday,7,0.8,3.94,1072.0,960,0,0.0,0,0,8.0,0.6253125
2015-01-04,Quarter1,finishing ,Sunday,3,0.75,4.15,884.0,1560,0,0.0,0,0,8.0,0.9913888890000001
2015-01-04,Quarter1,finishing ,Sunday,9,0.8,3.94,884.0,960,0,0.0,0,0,8.0,0.9316458329999999
2015-01-04,Quarter1,finishing ,Sunday,1,0.8,3.94,884.0,960,0,0.0,0,0,8.0,0.915229167
2015-01-04,Quarter1,sweing,Sunday,6,0.8,11.61,539.0,6975,50,0.0,0,0,31.0,0.879714482
2015-01-04,Quarter1,finishing ,Sunday,4,0.8,3.94,884.0,6600,0,0.0,0,0,20.0,0.8616790120000001
2015-01-04,Quarter1,sweing,Sunday,9,0.8,26.16,1278.0,7080,60,0.0,0,0,59.0,0.850569492
2015-01-04,Quarter1,sweing,Sunday,7,0.8,25.9,1227.0,7020,60,0.0,0,0,56.5,0.850436438
2015-01-04,Quarter1,sweing,Sunday,8,0.8,25.9,1039.0,6780,45,0.0,0,0,56.5,0.8503451329999999
2015-01-04,Quarter1,sweing,Sunday,4,0.8,28.08,878.0,4260,50,0.0,0,0,55.5,0.800598058
2015-01-04,Quarter1,sweing,Sunday,1,0.8,26.16,1033.0,7080,63,0.0,0,0,59.0,0.8003186440000001
2015-01-04,Quarter1,sweing,Sunday,2,0.8,28.08,782.0,6660,50,0.0,0,0,55.5,0.8002378379999999
2015-01-04,Quarter1,sweing,Sunday,12,0.8,11.61,1216.0,6975,50,0.0,0,0,31.0,0.800030199
2015-01-04,Quarter1,finishing ,Sunday,2,0.8,3.94,884.0,960,0,0.0,0,0,8.0,0.7921041670000001
2015-01-04,Quarter1,finishing ,Sunday,10,0.7,3.94,884.0,4320,0,0.0,0,0,18.0,0.759228395
2015-01-04,Quarter1,sweing,Sunday,11,0.75,19.31,513.0,6480,45,0.0,0,0,54.0,0.7503484570000001
2015-01-04,Quarter1,sweing,Sunday,3,0.75,19.87,734.0,6600,45,0.0,0,0,55.0,0.75024303
2015-01-04,Quarter1,sweing,Sunday,10,0.7,28.08,1202.0,6900,40,0.0,0,0,57.5,0.699965217
2015-01-04,Quarter1,finishing ,Sunday,8,0.8,2.9,884.0,960,0,0.0,0,0,8.0,0.682708333
2015-01-04,Quarter1,finishing ,Sunday,7,0.8,2.9,884.0,960,0,0.0,0,0,8.0,0.667604167
2015-01-04,Quarter1,sweing,Sunday,5,0.7,45.67,884.0,6960,26,0.0,0,0,58.0,0.603432184
2015-01-04,Quarter1,finishing ,Sunday,11,0.75,4.15,884.0,960,0,0.0,0,0,8.0,0.34583333299999997
2015-01-05,Quarter1,finishing ,Monday,1,0.8,3.94,666.0,1920,0,0.0,0,0,8.0,0.961059028
2015-01-05,Quarter1,finishing ,Monday,11,0.8,3.94,666.0,2400,0,0.0,0,0,10.0,0.9395138890000001
2015-01-05,Quarter1,finishing ,Monday,4,0.8,3.94,666.0,3840,0,0.0,0,0,16.0,0.893663194
2015-01-05,Quarter1,finishing ,Monday,3,0.75,4.15,666.0,1920,0,0.0,0,0,8.0,0.875390625
2015-01-05,Quarter1,sweing,Monday,9,0.8,26.16,1227.0,7080,75,0.0,0,0,59.0,0.850569492
2015-01-05,Quarter1,finishing ,Monday,9,0.8,2.9,666.0,1920,0,0.0,0,0,8.0,0.8208333329999999
2015-01-05,Quarter1,finishing ,Monday,2,0.8,3.94,666.0,960,0,0.0,0,0,8.0,0.804416667
2015-01-05,Quarter1,sweing,Monday,7,0.8,25.9,1255.0,6780,50,0.0,0,0,56.5,0.8006843659999999
2015-01-05,Quarter1,sweing,Monday,8,0.8,25.9,1047.0,6780,38,0.0,0,0,56.5,0.8006843659999999
2015-01-05,Quarter1,sweing,Monday,1,0.8,26.16,1138.0,7080,63,0.0,0,0,59.0,0.8003186440000001
2015-01-05,Quarter1,sweing,Monday,11,0.8,19.31,678.0,4800,50,0.0,0,0,55.0,0.800250962
2015-01-05,Quarter1,sweing,Monday,6,0.8,11.61,712.0,7200,50,0.0,0,0,32.0,0.8002460109999999
2015-01-05,Quarter1,sweing,Monday,12,0.8,11.61,1037.0,7200,50,0.0,0,0,32.0,0.8002460109999999
2015-01-05,Quarter1,sweing,Monday,2,0.8,28.08,757.0,6900,50,0.0,0,0,57.5,0.800076522
2015-01-05,Quarter1,sweing,Monday,4,0.8,28.08,759.0,6900,50,0.0,0,0,57.5,0.800076522
2015-01-05,Quarter1,finishing ,Monday,10,0.75,2.9,666.0,960,0,0.0,0,0,8.0,0.763375
2015-01-05,Quarter1,finishing ,Monday,5,0.6,2.9,666.0,960,0,0.0,0,0,8.0,0.759270833
2015-01-05,Quarter1,sweing,Monday,10,0.75,28.08,1083.0,7020,45,0.0,0,0,58.5,0.7504
2015-01-05,Quarter1,sweing,Monday,3,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303
2015-01-05,Quarter1,finishing ,Monday,7,0.8,3.94,666.0,960,0,0.0,0,0,8.0,0.676666667
2015-01-05,Quarter1,finishing ,Monday,8,0.8,2.9,666.0,960,0,0.0,0,0,8.0,0.6645833329999999
2015-01-05,Quarter1,sweing,Monday,5,0.6,21.98,666.0,6960,23,0.0,0,0,58.0,0.6000287360000001
2015-01-06,Quarter1,finishing ,Tuesday,4,0.8,3.94,808.0,4440,0,0.0,0,0,18.0,0.966781346
2015-01-06,Quarter1,finishing ,Tuesday,1,0.8,3.94,808.0,1440,0,0.0,0,0,8.0,0.936496212
2015-01-06,Quarter1,finishing ,Tuesday,3,0.75,4.15,808.0,1800,0,0.0,0,0,10.0,0.899166667
2015-01-06,Quarter1,finishing ,Tuesday,11,0.8,4.15,808.0,2700,0,0.0,0,0,15.0,0.888686869
2015-01-06,Quarter1,finishing ,Tuesday,9,0.8,3.94,808.0,1440,0,0.0,0,0,8.0,0.8581439390000001
2015-01-06,Quarter1,sweing,Tuesday,1,0.8,26.16,1187.0,10620,75,0.0,0,0,59.0,0.850502311
2015-01-06,Quarter1,sweing,Tuesday,9,0.8,26.16,1305.0,10620,75,0.0,0,0,59.0,0.850502311
2015-01-06,Quarter1,finishing ,Tuesday,10,0.75,3.94,808.0,1440,0,0.0,0,0,8.0,0.8096401520000001
2015-01-06,Quarter1,finishing ,Tuesday,2,0.8,3.94,808.0,1440,0,0.0,0,0,8.0,0.805909091
2015-01-06,Quarter1,sweing,Tuesday,2,0.8,28.08,716.0,10350,50,0.0,0,0,57.5,0.800594466
2015-01-06,Quarter1,sweing,Tuesday,4,0.8,28.08,925.0,10350,50,0.0,0,0,57.5,0.800594466
2015-01-06,Quarter1,sweing,Tuesday,3,0.8,19.87,963.0,9900,50,0.0,0,0,55.0,0.8002738290000001
2015-01-06,Quarter1,sweing,Tuesday,12,0.8,11.61,1101.0,5310,50,0.0,0,0,31.5,0.8001409690000001
2015-01-06,Quarter1,sweing,Tuesday,7,0.8,25.9,1035.0,10170,38,0.0,0,0,56.5,0.800128721
2015-01-06,Quarter1,sweing,Tuesday,8,0.8,25.9,1083.0,10170,38,0.0,0,0,56.5,0.800128721
2015-01-06,Quarter1,sweing,Tuesday,6,0.8,11.61,910.0,4470,38,0.0,0,0,31.5,0.80007657
2015-01-06,Quarter1,sweing,Tuesday,10,0.75,28.08,1209.0,10530,45,0.0,0,0,58.5,0.750545455
2015-01-06,Quarter1,sweing,Tuesday,11,0.75,19.31,590.0,9900,45,0.0,0,0,55.0,0.7500578509999999
2015-01-06,Quarter1,finishing ,Tuesday,8,0.8,2.9,808.0,1440,0,0.0,0,0,8.0,0.681060606
2015-01-06,Quarter1,sweing,Tuesday,5,0.65,21.98,808.0,10440,35,0.0,0,0,58.0,0.649983281
2015-01-06,Quarter1,finishing ,Tuesday,7,0.8,2.9,808.0,1440,0,0.0,0,0,8.0,0.61625
2015-01-07,Quarter1,finishing ,Wednesday,1,0.8,3.94,568.0,1440,0,0.0,0,0,8.0,0.951420455
2015-01-07,Quarter1,finishing ,Wednesday,9,0.8,3.94,568.0,1440,0,0.0,0,0,8.0,0.880530303
2015-01-07,Quarter1,sweing,Wednesday,1,0.8,26.16,1179.0,10620,75,0.0,0,0,59.0,0.850502311
2015-01-07,Quarter1,sweing,Wednesday,9,0.8,26.16,1324.0,10620,75,0.0,0,0,59.0,0.850502311
2015-01-07,Quarter1,sweing,Wednesday,8,0.8,25.9,1135.0,10170,60,0.0,0,0,56.5,0.850136766
2015-01-07,Quarter1,finishing ,Wednesday,3,0.75,4.15,568.0,2700,0,0.0,0,0,15.0,0.83
2015-01-07,Quarter1,finishing ,Wednesday,4,0.8,3.94,568.0,4440,0,0.0,0,0,18.0,0.827186544
2015-01-07,Quarter1,finishing ,Wednesday,2,0.8,3.94,568.0,1440,0,0.0,0,0,8.0,0.8133712120000001
2015-01-07,Quarter1,finishing ,Wednesday,10,0.75,3.94,568.0,1440,0,0.0,0,0,8.0,0.805909091
2015-01-07,Quarter1,finishing ,Wednesday,7,0.8,2.9,568.0,1440,0,0.0,0,0,8.0,0.804640152
2015-01-07,Quarter1,sweing,Wednesday,2,0.8,28.08,776.0,10350,63,0.0,0,0,57.5,0.800594466
2015-01-07,Quarter1,sweing,Wednesday,4,0.8,28.08,990.0,10350,50,0.0,0,0,57.5,0.800594466
2015-01-07,Quarter1,sweing,Wednesday,6,0.8,11.41,986.0,5490,50,0.0,0,0,30.5,0.8003437659999999
2015-01-07,Quarter1,sweing,Wednesday,3,0.8,19.87,924.0,9900,50,0.0,0,0,55.0,0.8002738290000001
2015-01-07,Quarter1,sweing,Wednesday,12,0.8,11.61,1120.0,5670,50,0.0,0,0,31.5,0.8002467529999999
2015-01-07,Quarter1,sweing,Wednesday,7,0.8,25.9,1066.0,10170,50,0.0,0,0,56.5,0.800128721
2015-01-07,Quarter1,sweing,Wednesday,10,0.75,28.08,1144.0,10530,69,0.0,0,0,58.5,0.8
2015-01-07,Quarter1,sweing,Wednesday,5,0.7,21.98,413.0,9720,40,0.0,0,0,58.0,0.7004808309999999
2015-01-07,Quarter1,finishing ,Wednesday,8,0.8,2.9,568.0,1440,0,0.0,0,0,8.0,0.681060606
2015-01-07,Quarter1,finishing ,Wednesday,6,0.8,2.9,568.0,1800,0,0.0,0,0,10.0,0.666515152
2015-01-07,Quarter1,sweing,Wednesday,11,0.8,31.83,568.0,9900,40,0.0,0,0,55.0,0.412119835
2015-01-07,Quarter1,finishing ,Wednesday,5,0.7,4.15,568.0,1440,0,0.0,0,0,8.0,0.330113636
2015-01-08,Quarter2,finishing ,Thursday,1,0.8,3.94,724.0,1440,0,0.0,0,0,8.0,0.9476893940000001
2015-01-08,Quarter2,finishing ,Thursday,4,0.8,3.94,724.0,12600,0,0.0,0,0,20.0,0.919905405
2015-01-08,Quarter2,sweing,Thursday,9,0.8,26.16,1216.0,10620,88,0.0,0,0,59.0,0.9002157159999999
2015-01-08,Quarter2,finishing ,Thursday,9,0.8,3.94,724.0,1440,0,0.0,0,0,8.0,0.891723485
2015-01-08,Quarter2,sweing,Thursday,1,0.8,26.16,1189.0,10620,75,0.0,0,0,59.0,0.850502311
2015-01-08,Quarter2,sweing,Thursday,4,0.8,28.08,942.0,10530,75,0.0,0,0,58.5,0.8501818179999999
2015-01-08,Quarter2,sweing,Thursday,7,0.8,25.9,1050.0,10170,60,0.0,0,0,56.5,0.850136766
2015-01-08,Quarter2,sweing,Thursday,8,0.8,25.9,1026.0,10170,60,0.0,0,0,56.5,0.850136766
2015-01-08,Quarter2,finishing ,Thursday,2,0.8,3.94,724.0,1440,0,0.0,0,0,8.0,0.8357575759999999
2015-01-08,Quarter2,finishing ,Thursday,5,0.7,4.15,724.0,3840,0,0.0,0,0,8.0,0.8213541670000001
2015-01-08,Quarter2,sweing,Thursday,2,0.8,28.08,783.0,10050,63,0.0,0,0,58.5,0.8004972459999999
2015-01-08,Quarter2,sweing,Thursday,3,0.8,19.87,857.0,9900,50,0.0,0,0,55.0,0.8002738290000001
2015-01-08,Quarter2,sweing,Thursday,12,0.8,11.61,548.0,15120,63,0.0,0,0,31.5,0.800107143
2015-01-08,Quarter2,sweing,Thursday,6,0.8,11.41,411.0,14640,50,0.0,0,0,30.5,0.800024932
2015-01-08,Quarter2,sweing,Thursday,10,0.75,28.08,1066.0,10530,69,0.0,0,0,58.5,0.8
2015-01-08,Quarter2,finishing ,Thursday,10,0.75,3.94,724.0,1440,0,0.0,0,0,8.0,0.779791667
2015-01-08,Quarter2,finishing ,Thursday,8,0.8,2.9,724.0,1440,0,0.0,0,0,8.0,0.735984848
2015-01-08,Quarter2,finishing ,Thursday,3,0.75,4.15,724.0,2160,0,0.0,0,0,12.0,0.712626263
2015-01-08,Quarter2,finishing ,Thursday,7,0.8,2.9,724.0,1440,0,0.0,0,0,8.0,0.681060606
2015-01-08,Quarter2,finishing ,Thursday,11,0.8,4.15,724.0,900,0,0.0,0,0,5.0,0.5156060610000001
2015-01-08,Quarter2,sweing,Thursday,11,0.35,12.52,287.0,25920,38,0.0,0,0,54.0,0.349951389
2015-01-08,Quarter2,sweing,Thursday,5,0.7,42.41,724.0,10260,0,0.0,0,0,57.0,0.23370547600000002
2015-01-10,Quarter2,finishing ,Saturday,1,0.8,3.94,966.0,2160,0,0.0,0,0,8.0,0.985
2015-01-10,Quarter2,finishing ,Saturday,3,0.75,4.15,966.0,2760,0,0.0,0,0,12.0,0.930340376
2015-01-10,Quarter2,finishing ,Saturday,4,0.8,3.94,966.0,6000,0,0.0,0,0,20.0,0.911589744
2015-01-10,Quarter2,finishing ,Saturday,9,0.8,3.94,966.0,1440,0,0.0,0,0,8.0,0.8581439390000001
2015-01-10,Quarter2,sweing,Saturday,9,0.8,26.16,1122.0,10620,75,0.0,0,0,59.0,0.8511741140000001
2015-01-10,Quarter2,sweing,Saturday,7,0.8,25.9,970.0,10170,60,0.0,0,0,56.5,0.850136766
2015-01-10,Quarter2,sweing,Saturday,8,0.8,25.9,1158.0,10170,60,0.0,0,0,56.5,0.850136766
2015-01-10,Quarter2,finishing ,Saturday,10,0.8,3.94,966.0,1440,0,0.0,0,0,8.0,0.846950758
2015-01-10,Quarter2,finishing ,Saturday,11,0.8,4.15,966.0,1440,0,0.0,0,0,8.0,0.8174242420000001
2015-01-10,Quarter2,finishing ,Saturday,2,0.8,3.94,966.0,1440,0,0.0,0,0,8.0,0.8171022729999999
2015-01-10,Quarter2,sweing,Saturday,4,0.8,28.08,660.0,10440,63,0.0,0,0,58.0,0.8010282129999999
2015-01-10,Quarter2,sweing,Saturday,2,0.8,28.08,749.0,10350,63,0.0,0,0,57.5,0.800594466
2015-01-10,Quarter2,sweing,Saturday,12,0.8,11.61,893.0,4710,50,0.0,0,0,31.5,0.800346445
2015-01-10,Quarter2,sweing,Saturday,6,0.8,11.41,887.0,5490,50,0.0,0,0,30.5,0.8003437659999999
2015-01-10,Quarter2,sweing,Saturday,1,0.8,26.16,1335.0,10620,63,0.0,0,0,59.0,0.8001171029999999
2015-01-10,Quarter2,sweing,Saturday,10,0.8,28.08,1082.0,10530,63,0.0,0,0,58.5,0.8
2015-01-10,Quarter2,sweing,Saturday,3,0.75,19.87,1075.0,7080,45,0.0,0,0,56.0,0.7500983509999999
2015-01-10,Quarter2,sweing,Saturday,11,0.5,12.52,749.0,9540,38,0.0,0,0,53.0,0.673245283
2015-01-10,Quarter2,finishing ,Saturday,7,0.8,2.9,966.0,1440,0,0.0,0,0,8.0,0.670075758
2015-01-10,Quarter2,finishing ,Saturday,8,0.8,2.9,966.0,1440,0,0.0,0,0,8.0,0.628882576
2015-01-10,Quarter2,sweing,Saturday,5,0.5,20.79,966.0,7680,0,0.0,0,0,56.0,0.388007813
2015-01-10,Quarter2,finishing ,Saturday,5,0.5,4.15,966.0,1440,0,0.0,0,0,8.0,0.337973485
2015-01-11,Quarter2,finishing ,Sunday,3,0.75,4.15,1208.0,1440,0,0.0,0,0,8.0,0.93532197
2015-01-11,Quarter2,finishing ,Sunday,4,0.8,3.94,1208.0,3600,0,0.0,0,0,20.0,0.9256439390000001
2015-01-11,Quarter2,sweing,Sunday,9,0.8,26.16,1095.0,10620,88,0.0,0,0,59.0,0.9002157159999999
2015-01-11,Quarter2,finishing ,Sunday,1,0.8,3.94,1208.0,1440,0,0.0,0,0,8.0,0.873068182
2015-01-11,Quarter2,finishing ,Sunday,9,0.8,3.94,1208.0,1440,0,0.0,0,0,8.0,0.8581439390000001
2015-01-11,Quarter2,sweing,Sunday,1,0.8,26.16,1383.0,10620,75,0.0,0,0,59.0,0.850502311
2015-01-11,Quarter2,sweing,Sunday,7,0.8,25.9,1012.0,10170,45,0.0,0,0,56.5,0.850136766
2015-01-11,Quarter2,sweing,Sunday,8,0.8,25.9,1209.0,10170,60,0.0,0,0,56.5,0.850136766
2015-01-11,Quarter2,finishing ,Sunday,10,0.8,3.94,1208.0,1440,0,0.0,0,0,8.0,0.828295455
2015-01-11,Quarter2,finishing ,Sunday,2,0.8,3.94,1208.0,1440,0,0.0,0,0,8.0,0.8208333329999999
2015-01-11,Quarter2,sweing,Sunday,6,0.8,11.41,887.0,5490,50,0.0,0,0,30.5,0.8003437659999999
2015-01-11,Quarter2,sweing,Sunday,12,0.8,11.61,896.0,5670,50,0.0,0,0,31.5,0.8002467529999999
2015-01-11,Quarter2,sweing,Sunday,2,0.8,28.08,805.0,10530,63,0.0,0,0,58.5,0.8
2015-01-11,Quarter2,sweing,Sunday,10,0.8,28.08,762.0,10530,38,0.0,0,0,58.5,0.8
2015-01-11,Quarter2,sweing,Sunday,3,0.8,19.87,1043.0,6420,0,0.0,0,0,55.0,0.690182815
2015-01-11,Quarter2,finishing ,Sunday,11,0.8,4.15,1208.0,1440,0,0.0,0,0,8.0,0.668087121
2015-01-11,Quarter2,finishing ,Sunday,8,0.8,2.9,1208.0,1440,0,0.0,0,0,8.0,0.653598485
2015-01-11,Quarter2,finishing ,Sunday,5,0.5,4.15,1208.0,1440,0,0.0,0,0,8.0,0.609138258
2015-01-11,Quarter2,sweing,Sunday,11,0.6,12.52,831.0,9540,30,0.0,0,0,53.0,0.6002298460000001
2015-01-11,Quarter2,finishing ,Sunday,6,0.8,2.9,1208.0,1440,0,0.0,0,0,8.0,0.597348485
2015-01-11,Quarter2,finishing ,Sunday,7,0.8,2.9,1208.0,1440,0,0.0,0,0,8.0,0.590435606
2015-01-11,Quarter2,sweing,Sunday,4,0.8,50.48,562.0,10440,0,0.0,0,0,58.0,0.473134796
2015-01-11,Quarter2,sweing,Sunday,5,0.6,20.79,1208.0,7980,0,0.0,0,0,57.0,0.452979626
2015-01-12,Quarter2,finishing ,Monday,1,0.8,3.94,581.0,1440,0,0.0,0,0,8.0,0.955151515
2015-01-12,Quarter2,finishing ,Monday,4,0.35,4.3,581.0,3240,0,0.0,0,0,18.0,0.942213805
2015-01-12,Quarter2,finishing ,Monday,3,0.8,4.15,581.0,1800,0,0.0,0,0,10.0,0.905454545
2015-01-12,Quarter2,finishing ,Monday,2,0.8,3.94,581.0,1440,0,0.0,0,0,8.0,0.880530303
2015-01-12,Quarter2,finishing ,Monday,9,0.8,3.94,581.0,1440,0,0.0,0,0,8.0,0.8581439390000001
2015-01-12,Quarter2,sweing,Monday,1,0.8,26.16,1099.0,8220,75,0.0,0,0,59.0,0.850522167
2015-01-12,Quarter2,sweing,Monday,9,0.8,26.16,1093.0,10620,75,0.0,0,0,59.0,0.850502311
2015-01-12,Quarter2,sweing,Monday,7,0.8,25.9,1031.0,10170,60,0.0,0,0,56.5,0.850136766
2015-01-12,Quarter2,sweing,Monday,8,0.8,25.9,1233.0,10170,60,0.0,0,0,56.5,0.850136766
2015-01-12,Quarter2,finishing ,Monday,6,0.8,2.9,581.0,1440,0,0.0,0,0,8.0,0.8174242420000001
2015-01-12,Quarter2,finishing ,Monday,5,0.65,4.15,581.0,1440,0,0.0,0,0,8.0,0.809564394
2015-01-12,Quarter2,sweing,Monday,3,0.8,19.87,941.0,9900,0,0.0,0,0,55.0,0.8002738290000001
2015-01-12,Quarter2,sweing,Monday,6,0.8,11.41,843.0,5670,50,0.0,0,0,31.5,0.800181818
2015-01-12,Quarter2,sweing,Monday,12,0.8,11.61,760.0,4470,50,0.0,0,0,31.5,0.80007657
2015-01-12,Quarter2,sweing,Monday,2,0.8,28.08,737.0,10530,63,0.0,0,0,58.5,0.8
2015-01-12,Quarter2,finishing ,Monday,8,0.8,2.9,581.0,1440,0,0.0,0,0,8.0,0.725
2015-01-12,Quarter2,sweing,Monday,10,0.8,50.48,381.0,6930,45,0.0,0,0,58.5,0.688557555
2015-01-12,Quarter2,sweing,Monday,5,0.65,20.79,1141.0,8460,0,0.0,0,0,59.0,0.650040783
2015-01-12,Quarter2,sweing,Monday,11,0.65,12.52,1004.0,9540,44,0.0,0,0,53.0,0.64998056
2015-01-12,Quarter2,finishing ,Monday,7,0.8,2.9,581.0,1440,0,0.0,0,0,8.0,0.648106061
2015-01-12,Quarter2,finishing ,Monday,11,0.8,4.15,581.0,1440,0,0.0,0,0,8.0,0.640577652
2015-01-12,Quarter2,sweing,Monday,4,0.35,22.4,581.0,7350,0,0.0,0,0,51.5,0.35063299
2015-01-12,Quarter2,finishing ,Monday,10,0.8,3.94,581.0,1440,0,0.0,0,0,8.0,0.24625
2015-01-13,Quarter2,finishing ,Tuesday,4,0.35,4.3,715.0,2160,0,0.0,0,0,12.0,0.952020202
2015-01-13,Quarter2,finishing ,Tuesday,1,0.8,3.94,715.0,1440,0,0.0,0,0,2.0,0.951420455
2015-01-13,Quarter2,finishing ,Tuesday,10,0.8,3.94,715.0,5400,0,0.0,0,0,20.0,0.912766667
2015-01-13,Quarter2,finishing ,Tuesday,3,0.8,4.15,715.0,1620,0,0.0,0,0,9.0,0.901262626
2015-01-13,Quarter2,finishing ,Tuesday,9,0.8,3.94,715.0,1440,0,0.0,0,0,8.0,0.8581439390000001
2015-01-13,Quarter2,sweing,Tuesday,1,0.8,26.16,1073.0,10620,75,0.0,0,0,59.0,0.850502311
2015-01-13,Quarter2,sweing,Tuesday,9,0.8,26.16,1156.0,10620,75,0.0,0,0,59.0,0.850502311
2015-01-13,Quarter2,sweing,Tuesday,8,0.8,25.9,1211.0,10260,60,0.0,0,0,57.0,0.850252525
2015-01-13,Quarter2,sweing,Tuesday,7,0.8,25.9,1126.0,10170,60,0.0,0,0,56.5,0.850136766
2015-01-13,Quarter2,finishing ,Tuesday,5,0.65,4.15,715.0,1440,0,0.0,0,0,8.0,0.8213541670000001
2015-01-13,Quarter2,finishing ,Tuesday,2,0.8,3.94,715.0,1440,0,0.0,0,0,8.0,0.805909091
2015-01-13,Quarter2,sweing,Tuesday,6,0.8,11.61,1004.0,5670,50,0.0,0,0,31.5,0.8002467529999999
